epoch,phase,lr,loss,accuracy
0,train,0.001,0.49450145607818163,0.8200666904449463
0,evaluation,0.001,0.40161275090296056,0.8579999804496765
1,train,0.000999938933078422,0.3726241487874659,0.8623666763305664
1,evaluation,0.000999938933078422,0.4052026573615738,0.857200026512146
2,train,0.000999755747381037,0.3358303247166595,0.8758999705314636
2,evaluation,0.000999755747381037,0.3744722802804995,0.8654000163078308
3,train,0.000999450488106175,0.31235529482364655,0.883816659450531
3,evaluation,0.000999450488106175,0.35902711730214615,0.8751999735832214
4,train,0.0009990232305719944,0.29521415562136594,0.890250027179718
4,evaluation,0.0009990232305719944,0.3490880780582187,0.8779000043869019
5,train,0.0009984740801978983,0.27866683585811525,0.8962000012397766
5,evaluation,0.0009984740801978983,0.333863820267629,0.8826000094413757
6,train,0.0009978031724785245,0.2673815803360075,0.9007333517074585
6,evaluation,0.0009978031724785245,0.3404446453610553,0.8845000267028809
7,train,0.000997010672950314,0.25488164819189224,0.904783308506012
7,evaluation,0.000997010672950314,0.3284686943398246,0.8906000256538391
8,train,0.0009960967771506664,0.2444816456039323,0.9075499773025513
8,evaluation,0.0009960967771506664,0.3328448746211921,0.8876000046730042
9,train,0.0009950617105696957,0.23362215571820355,0.9125999808311462
9,evaluation,0.0009950617105696957,0.33304536531243145,0.8884999752044678
10,train,0.0009939057285945929,0.2229312823048787,0.916100025177002
10,evaluation,0.0009939057285945929,0.34422668663761286,0.8888999819755554
11,train,0.0009926291164466126,0.21614927219461277,0.9185000061988831
11,evaluation,0.0009926291164466126,0.34206866086283816,0.8953999876976013
12,train,0.0009912321891107005,0.20726214620922165,0.9210666418075562
12,evaluation,0.0009912321891107005,0.3427961829436731,0.8931000232696533
13,train,0.0009897152912577737,0.1989026934956945,0.9246166944503784
13,evaluation,0.0009897152912577737,0.3243488415226906,0.8946999907493591
14,train,0.0009880787971596797,0.19301942731144586,0.9264833331108093
14,evaluation,0.0009880787971596797,0.3459465850757647,0.8980000019073486
15,train,0.0009863231105968495,0.18710638482624026,0.9288666844367981
15,evaluation,0.0009863231105968495,0.3539105178434638,0.8974000215530396
16,train,0.000984448664758672,0.17820321207742956,0.9331833124160767
16,evaluation,0.000984448664758672,0.3415016356053986,0.8971999883651733
17,train,0.0009824559221366096,0.17291960685746247,0.9347500205039978
