epoch,phase,lr,loss,accuracy
0,train,0.001,0.49260161391326357,0.8211166858673096
0,evaluation,0.001,0.3964896328464339,0.8575999736785889
1,train,0.000999938933078422,0.36670371063990886,0.8644166588783264
1,evaluation,0.000999938933078422,0.4007260906922666,0.8598999977111816
2,train,0.000999755747381037,0.32921060223950505,0.8772666454315186
2,evaluation,0.000999755747381037,0.35607436563395245,0.8741999864578247
3,train,0.000999450488106175,0.3056007065434954,0.8858000040054321
3,evaluation,0.000999450488106175,0.35198303594996655,0.8773999810218811
4,train,0.0009990232305719944,0.29067765484486563,0.8916000127792358
4,evaluation,0.0009990232305719944,0.32644282262536545,0.883400022983551
5,train,0.0009984740801978983,0.2721991959665376,0.8972499966621399
5,evaluation,0.0009984740801978983,0.31852003950861435,0.888700008392334
6,train,0.0009978031724785245,0.25946932468714234,0.9024166464805603
6,evaluation,0.0009978031724785245,0.3328106535386436,0.8873000144958496
7,train,0.000997010672950314,0.25054923932689593,0.9047999978065491
7,evaluation,0.000997010672950314,0.3299378639535059,0.8917999863624573
8,train,0.0009960967771506664,0.23853956836500148,0.9086166620254517
8,evaluation,0.0009960967771506664,0.323758774354488,0.892799973487854
9,train,0.0009950617105696957,0.22857319094987313,0.9138000011444092
9,evaluation,0.0009950617105696957,0.33308356076101714,0.8863999843597412
10,train,0.0009939057285945929,0.21886768881509552,0.9167166948318481
10,evaluation,0.0009939057285945929,0.3242124590692641,0.8931000232696533
11,train,0.0009926291164466126,0.21150993395334622,0.9190999865531921
11,evaluation,0.0009926291164466126,0.33416726892884774,0.8950999975204468
12,train,0.0009912321891107005,0.20388936926561124,0.9224666953086853
12,evaluation,0.0009912321891107005,0.33564412480668177,0.8938000202178955
13,train,0.0009897152912577737,0.19818043161525148,0.9241333603858948
13,evaluation,0.0009897152912577737,0.3329131902678858,0.8946999907493591
14,train,0.0009880787971596797,0.18532560781629354,0.9281666874885559
14,evaluation,0.0009880787971596797,0.3366169359393512,0.899399995803833
15,train,0.0009863231105968495,0.1825561939653303,0.9298166632652283
15,evaluation,0.0009863231105968495,0.37376170841198936,0.8919000029563904
16,train,0.000984448664758672,0.17522477491228566,0.9332000017166138
16,evaluation,0.000984448664758672,0.35558711463892007,0.8992999792098999
17,train,0.0009824559221366096,0.16886982390049424,0.9350333213806152
17,evaluation,0.0009824559221366096,0.3598456937301008,0.8981000185012817
18,train,0.0009803453744100864,0.16519909754776751,0.9363166689872742
18,evaluation,0.0009803453744100864,0.3577187347072589,0.9002000093460083
19,train,0.0009781175423251728,0.16195814630814961,0.9370166659355164
19,evaluation,0.0009781175423251728,0.3537850402578523,0.9004999995231628
20,train,0.0009757729755661004,0.15686369293343538,0.940850019454956
