epoch,phase,lr,loss,accuracy
0,train,0.001,0.5054585289345113,0.8169000148773193
0,evaluation,0.001,0.39287838811361336,0.858299970626831
1,train,0.000999938933078422,0.370641910890018,0.8634999990463257
1,evaluation,0.000999938933078422,0.3945246118156216,0.8586999773979187
2,train,0.000999755747381037,0.3368170336683168,0.8762166500091553
2,evaluation,0.000999755747381037,0.3605307723525204,0.8680999875068665
3,train,0.000999450488106175,0.31417244796686844,0.8835166692733765
3,evaluation,0.000999450488106175,0.3444757324796689,0.8774999976158142
4,train,0.0009990232305719944,0.2966171635557085,0.8888333439826965
4,evaluation,0.0009990232305719944,0.3291644836905636,0.8848000168800354
5,train,0.0009984740801978983,0.28051083380860814,0.8942833542823792
5,evaluation,0.0009984740801978983,0.3199707262123687,0.8855999708175659
6,train,0.0009978031724785245,0.2709948127902647,0.8984000086784363
6,evaluation,0.0009978031724785245,0.33220894634723663,0.8866999745368958
7,train,0.000997010672950314,0.26047695364588613,0.9012500047683716
7,evaluation,0.000997010672950314,0.31876917126812515,0.8927000164985657
8,train,0.0009960967771506664,0.25212211349307856,0.9053000211715698
8,evaluation,0.0009960967771506664,0.32181208750492407,0.8906999826431274
9,train,0.0009950617105696957,0.24302377404053327,0.9087333083152771
9,evaluation,0.0009950617105696957,0.32192653228964985,0.8895999789237976
10,train,0.0009939057285945929,0.23553606858258563,0.9114000201225281
10,evaluation,0.0009939057285945929,0.3348005961956857,0.8892999887466431
11,train,0.0009926291164466126,0.22740734420986827,0.913349986076355
11,evaluation,0.0009926291164466126,0.3306342343552203,0.8917999863624573
12,train,0.0009912321891107005,0.22141679926022792,0.9154999852180481
12,evaluation,0.0009912321891107005,0.32534591759307474,0.8946999907493591
13,train,0.0009897152912577737,0.21712510862838486,0.9174000024795532
13,evaluation,0.0009897152912577737,0.31767120523543296,0.8937000036239624
14,train,0.0009880787971596797,0.2072843269689251,0.9210500121116638
14,evaluation,0.0009880787971596797,0.3253294288451913,0.8998000025749207
15,train,0.0009863231105968495,0.2038884655689634,0.9226166605949402
15,evaluation,0.0009863231105968495,0.33419766468054884,0.8956999778747559
16,train,0.000984448664758672,0.1975545338920947,0.9253666400909424
16,evaluation,0.000984448664758672,0.33161954091319557,0.8981999754905701
17,train,0.0009824559221366096,0.19095760594997832,0.9283833503723145
17,evaluation,0.0009824559221366096,0.34059477008030387,0.895799994468689
